Source,Target,Type,Id,Label,Weight
1.0,0.0,Undirected,0,,1.0
2.0,0.0,Undirected,1,,8.0
3.0,0.0,Undirected,2,,10.0
3.0,2.0,Undirected,3,,6.0
4.0,0.0,Undirected,4,,1.0
5.0,0.0,Undirected,5,,1.0
6.0,0.0,Undirected,6,,1.0
7.0,0.0,Undirected,7,,1.0
8.0,0.0,Undirected,8,,2.0
9.0,0.0,Undirected,9,,1.0
11.0,0.0,Undirected,13,,5.0
11.0,2.0,Undirected,12,,3.0
11.0,3.0,Undirected,11,,3.0
11.0,10.0,Undirected,10,,1.0
12.0,11.0,Undirected,14,,1.0
13.0,11.0,Undirected,15,,1.0
14.0,11.0,Undirected,16,,1.0
15.0,11.0,Undirected,17,,1.0
17.0,16.0,Undirected,18,,4.0
18.0,16.0,Undirected,19,,4.0
18.0,17.0,Undirected,20,,4.0
19.0,16.0,Undirected,21,,4.0
19.0,17.0,Undirected,22,,4.0
19.0,18.0,Undirected,23,,4.0
20.0,16.0,Undirected,24,,3.0
20.0,17.0,Undirected,25,,3.0
20.0,18.0,Undirected,26,,3.0
20.0,19.0,Undirected,27,,4.0
21.0,16.0,Undirected,28,,3.0
21.0,17.0,Undirected,29,,3.0
21.0,18.0,Undirected,30,,3.0
21.0,19.0,Undirected,31,,3.0
21.0,20.0,Undirected,32,,5.0
22.0,16.0,Undirected,33,,3.0
22.0,17.0,Undirected,34,,3.0
22.0,18.0,Undirected,35,,3.0
22.0,19.0,Undirected,36,,3.0
22.0,20.0,Undirected,37,,4.0
22.0,21.0,Undirected,38,,4.0
23.0,11.0,Undirected,47,,9.0
23.0,12.0,Undirected,46,,2.0
23.0,16.0,Undirected,39,,3.0
23.0,17.0,Undirected,40,,3.0
23.0,18.0,Undirected,41,,3.0
23.0,19.0,Undirected,42,,3.0
23.0,20.0,Undirected,43,,4.0
23.0,21.0,Undirected,44,,4.0
23.0,22.0,Undirected,45,,4.0
24.0,11.0,Undirected,49,,7.0
24.0,23.0,Undirected,48,,2.0
25.0,11.0,Undirected,52,,12.0
25.0,23.0,Undirected,51,,1.0
25.0,24.0,Undirected,50,,13.0
26.0,11.0,Undirected,54,,31.0
26.0,16.0,Undirected,55,,1.0
26.0,24.0,Undirected,53,,4.0
26.0,25.0,Undirected,56,,1.0
27.0,11.0,Undirected,57,,17.0
27.0,23.0,Undirected,58,,5.0
27.0,24.0,Undirected,60,,1.0
27.0,25.0,Undirected,59,,5.0
27.0,26.0,Undirected,61,,1.0
28.0,11.0,Undirected,62,,8.0
28.0,27.0,Undirected,63,,1.0
29.0,11.0,Undirected,66,,2.0
29.0,23.0,Undirected,64,,1.0
29.0,27.0,Undirected,65,,1.0
30.0,23.0,Undirected,67,,1.0
31.0,11.0,Undirected,69,,3.0
31.0,23.0,Undirected,70,,2.0
31.0,27.0,Undirected,71,,1.0
31.0,30.0,Undirected,68,,2.0
32.0,11.0,Undirected,72,,1.0
33.0,11.0,Undirected,73,,2.0
33.0,27.0,Undirected,74,,1.0
34.0,11.0,Undirected,75,,3.0
34.0,29.0,Undirected,76,,2.0
35.0,11.0,Undirected,77,,3.0
35.0,29.0,Undirected,79,,2.0
35.0,34.0,Undirected,78,,3.0
36.0,11.0,Undirected,82,,2.0
36.0,29.0,Undirected,83,,1.0
36.0,34.0,Undirected,80,,2.0
36.0,35.0,Undirected,81,,2.0
37.0,11.0,Undirected,87,,2.0
37.0,29.0,Undirected,88,,1.0
37.0,34.0,Undirected,84,,2.0
37.0,35.0,Undirected,85,,2.0
37.0,36.0,Undirected,86,,2.0
38.0,11.0,Undirected,93,,2.0
38.0,29.0,Undirected,94,,1.0
38.0,34.0,Undirected,89,,2.0
38.0,35.0,Undirected,90,,2.0
38.0,36.0,Undirected,91,,2.0
38.0,37.0,Undirected,92,,2.0
39.0,25.0,Undirected,95,,1.0
40.0,25.0,Undirected,96,,1.0
41.0,24.0,Undirected,97,,2.0
41.0,25.0,Undirected,98,,3.0
42.0,24.0,Undirected,101,,1.0
42.0,25.0,Undirected,100,,2.0
42.0,41.0,Undirected,99,,2.0
43.0,11.0,Undirected,102,,3.0
43.0,26.0,Undirected,103,,1.0
43.0,27.0,Undirected,104,,1.0
44.0,11.0,Undirected,106,,1.0
44.0,28.0,Undirected,105,,3.0
45.0,28.0,Undirected,107,,2.0
47.0,46.0,Undirected,108,,1.0
48.0,11.0,Undirected,112,,1.0
48.0,25.0,Undirected,110,,1.0
48.0,27.0,Undirected,111,,1.0
48.0,47.0,Undirected,109,,2.0
49.0,11.0,Undirected,114,,2.0
49.0,26.0,Undirected,113,,3.0
50.0,24.0,Undirected,116,,1.0
50.0,49.0,Undirected,115,,1.0
51.0,11.0,Undirected,119,,2.0
51.0,26.0,Undirected,118,,2.0
51.0,49.0,Undirected,117,,9.0
52.0,39.0,Undirected,121,,1.0
52.0,51.0,Undirected,120,,1.0
53.0,51.0,Undirected,122,,1.0
54.0,26.0,Undirected,125,,1.0
54.0,49.0,Undirected,124,,1.0
54.0,51.0,Undirected,123,,2.0
55.0,11.0,Undirected,131,,19.0
55.0,16.0,Undirected,132,,1.0
55.0,25.0,Undirected,133,,2.0
55.0,26.0,Undirected,130,,21.0
55.0,39.0,Undirected,128,,1.0
55.0,41.0,Undirected,134,,5.0
55.0,48.0,Undirected,135,,4.0
55.0,49.0,Undirected,127,,12.0
55.0,51.0,Undirected,126,,6.0
55.0,54.0,Undirected,129,,1.0
56.0,49.0,Undirected,136,,1.0
56.0,55.0,Undirected,137,,1.0
57.0,41.0,Undirected,139,,1.0
57.0,48.0,Undirected,140,,1.0
57.0,55.0,Undirected,138,,1.0
58.0,11.0,Undirected,145,,4.0
58.0,27.0,Undirected,143,,6.0
58.0,48.0,Undirected,142,,7.0
58.0,55.0,Undirected,141,,7.0
58.0,57.0,Undirected,144,,1.0
59.0,48.0,Undirected,148,,6.0
59.0,55.0,Undirected,147,,5.0
59.0,57.0,Undirected,149,,2.0
59.0,58.0,Undirected,146,,15.0
60.0,48.0,Undirected,150,,1.0
