Id,Label
0.0,Myriel
1.0,Napoleon
2.0,MlleBaptistine
3.0,MmeMagloire
4.0,CountessDeLo
5.0,Geborand
6.0,Champtercier
7.0,Cravatte
8.0,Count
9.0,OldMan
10.0,Labarre
11.0,Valjean
12.0,Marguerite
13.0,MmeDeR
14.0,Isabeau
15.0,Gervais
16.0,Tholomyes
17.0,Listolier
18.0,Fameuil
19.0,Blacheville
20.0,Favourite
21.0,Dahlia
22.0,Zephine
23.0,Fantine
24.0,MmeThenardier
25.0,Thenardier
26.0,Cosette
27.0,Javert
28.0,Fauchelevent
29.0,Bamatabois
30.0,Perpetue
31.0,Simplice
32.0,Scaufflaire
33.0,Woman1
34.0,Judge
35.0,Champmathieu
36.0,Brevet
37.0,Chenildieu
38.0,Cochepaille
39.0,Pontmercy
40.0,Boulatruelle
41.0,Eponine
42.0,Anzelma
43.0,Woman2
44.0,MotherInnocent
45.0,Gribier
46.0,Jondrette
47.0,MmeBurgon
48.0,Gavroche
49.0,Gillenormand
50.0,Magnon
51.0,MlleGillenormand
52.0,MmePontmercy
53.0,MlleVaubois
54.0,LtGillenormand
55.0,Marius
56.0,BaronessT
57.0,Mabeuf
58.0,Enjolras
59.0,Combeferre
60.0,Prouvaire
61.0,Feuilly
62.0,Courfeyrac
63.0,Bahorel
64.0,Bossuet
65.0,Joly
66.0,Grantaire
67.0,MotherPlutarch
68.0,Gueulemer
69.0,Babet
70.0,Claquesous
71.0,Montparnasse
72.0,Toussaint
73.0,Child1
74.0,Child2
75.0,Brujon
76.0,MmeHucheloup
