id,PG,SG,SF,PF,C,sum,label_name
Al Harrington,0,0,1,1,1,43,Al Harrington
Al Jefferson,0,0,0,1,1,254,Al Jefferson
Amar'e Stoudemire,0,0,0,1,1,147,Amar'e Stoudemire
Andray Blatche,0,0,0,1,1,80,Andray Blatche
Anthony Morrow,0,1,0,0,0,83,Anthony Morrow
Antonio McDyess,0,0,0,1,1,3,Antonio McDyess
Arron Afflalo,0,1,1,0,0,101,Arron Afflalo
Avery Bradley,1,1,0,0,0,112,Avery Bradley
Ben Gordon,0,1,0,0,0,111,Ben Gordon
Ben Wallace,0,0,0,1,1,18,Ben Wallace
Bismack Biyombo,0,0,0,0,1,71,Bismack Biyombo
Blake Griffin,0,0,0,1,0,485,Blake Griffin
Brandon Bass,0,0,0,1,1,57,Brandon Bass
Brandon Knight,1,1,0,0,0,204,Brandon Knight
Brandon Roy,0,1,0,0,0,110,Brandon Roy
Brandon Rush,0,1,1,0,0,36,Brandon Rush
Brian Cardinal,0,0,1,1,0,3,Brian Cardinal
Brook Lopez,0,0,0,0,1,243,Brook Lopez
C.J. Miles,1,1,1,0,0,52,C.J. Miles
Carmelo Anthony,0,0,1,1,0,514,Carmelo Anthony
Caron Butler,0,1,1,0,0,151,Caron Butler
Chris Andersen,0,0,0,1,1,80,Chris Andersen
Chris Bosh,0,0,0,1,1,514,Chris Bosh
Chris Duhon,1,0,0,0,0,23,Chris Duhon
Chris Paul,1,0,0,0,0,668,Chris Paul
Corey Brewer,0,1,1,0,0,127,Corey Brewer
Daniel Orton,0,0,0,1,1,13,Daniel Orton
Danilo Gallinari,0,1,1,1,0,159,Danilo Gallinari
Danny Granger,0,0,1,0,0,167,Danny Granger
Darius Morris,1,0,0,0,0,22,Darius Morris
Darren Collison,1,0,0,0,0,138,Darren Collison
David Lee,0,0,0,0,0,284,David Lee
David West,0,0,1,1,0,293,David West
Delonte West,1,1,0,0,0,24,Delonte West
Derek Fisher,1,1,0,0,0,205,Derek Fisher
Deron Williams,1,0,0,0,0,362,Deron Williams
Derrick Brown,0,0,1,0,0,6,Derrick Brown
Derrick Favors,0,0,0,1,0,159,Derrick Favors
Derrick Rose,1,0,0,0,0,538,Derrick Rose
Derrick Williams,0,0,1,1,0,115,Derrick Williams
DeShawn Stevenson,0,1,1,0,0,58,DeShawn Stevenson
Dexter Pittman,0,0,0,0,1,24,Dexter Pittman
Dirk Nowitzki,0,0,0,1,1,396,Dirk Nowitzki
Dominique Jones,1,1,0,0,0,15,Dominique Jones
Dwight Howard,0,0,0,1,1,733,Dwight Howard
Dwyane Wade,1,1,0,0,0,277,Dwyane Wade
Emeka Okafor,0,0,0,1,1,89,Emeka Okafor
George Hill,1,0,0,0,0,167,George Hill
Gerald Henderson,0,0,0,0,0,133,Gerald Henderson
Gordon Hayward,0,0,1,0,0,164,Gordon Hayward
Grant Hill,0,1,1,0,0,132,Grant Hill
Greg Monroe,0,0,0,1,1,233,Greg Monroe
Greg Oden,0,0,0,0,1,115,Greg Oden
Hedo Turkoglu,0,0,1,1,0,53,Hedo Turkoglu
J.J. Barea,1,1,0,0,0,107,J.J. Barea
J.J. Redick,1,1,0,0,0,178,J.J. Redick
J.R. Smith,0,1,1,0,0,301,J.R. Smith
Jamal Crawford,1,1,0,0,0,189,Jamal Crawford
Jameer Nelson,1,0,0,0,0,161,Jameer Nelson
James Anderson,0,1,1,0,0,18,James Anderson
Jason Kidd,1,1,0,0,0,445,Jason Kidd
Jason Terry,1,1,0,0,0,185,Jason Terry
JaVale McGee,0,0,0,0,1,129,JaVale McGee
Jeff Green,0,0,1,1,0,150,Jeff Green
Jeremy Evans,0,0,1,1,0,26,Jeremy Evans
Jermaine O'Neal,0,0,0,1,1,115,Jermaine O'Neal
Joel Anthony,0,0,0,1,1,49,Joel Anthony
Joel Przybilla,0,0,0,0,1,11,Joel Przybilla
John Wall,1,0,0,0,0,366,John Wall
Jonas Jerebko,0,0,0,1,0,28,Jonas Jerebko
